pygame 1.9.6
Hello from the pygame community. https://www.pygame.org/contribute.html
Generating data ... n_rollout=90, time_step=75
Training data generated, warpping up stats ...
stats warmed done!
Generating data ... n_rollout=10, time_step=75
Training data generated, warpping up stats ...
phase: valid
Loading stat from data/data_PassWater/stat.h5 ...
stats warmed done!
data generate done!
dataloaders generate done!
particle encoder input size:  18
particle encoder input size:  18
Number of parameters: 1075610
train [0/1000][0/6660] n_relations: 8937, Loss: 0.965584, Agg: 0.965584
train [1/1000][5000/6660] n_relations: 14812, Loss: 0.445888, Agg: 0.532499
train [1/1000][5200/6660] n_relations: 14122, Loss: 0.350314, Agg: 0.532846
train [1/1000][5400/6660] n_relations: 6380, Loss: 0.383029, Agg: 0.532478
train [1/1000][5600/6660] n_relations: 4722, Loss: 0.511811, Agg: 0.531201
train [1/1000][5800/6660] n_relations: 6497, Loss: 0.729397, Agg: 0.530781
train [1/1000][6000/6660] n_relations: 6861, Loss: 0.442529, Agg: 0.530486
train [1/1000][6200/6660] n_relations: 18672, Loss: 0.606216, Agg: 0.529713
train [1/1000][6400/6660] n_relations: 14126, Loss: 0.614638, Agg: 0.529598
train [1/1000][6600/6660] n_relations: 16853, Loss: 0.404738, Agg: 0.529184
train [1/1000] Loss: 0.5290, Best valid: 0.5658
valid [1/1000][0/740] n_relations: 11872, Loss: 0.373640, Agg: 0.373640
valid [1/1000][200/740] n_relations: 13927, Loss: 0.343584, Agg: 0.531578
valid [1/1000][400/740] n_relations: 11193, Loss: 0.448694, Agg: 0.491814
valid [1/1000][600/740] n_relations: 7175, Loss: 0.560455, Agg: 0.506768
valid [1/1000] Loss: 0.5094, Best valid: 0.5658
train [2/1000][0/6660] n_relations: 20027, Loss: 0.554608, Agg: 0.554608
train [2/1000][200/6660] n_relations: 6804, Loss: 0.483796, Agg: 0.521375
train [2/1000][400/6660] n_relations: 3615, Loss: 0.410421, Agg: 0.524751
train [2/1000][600/6660] n_relations: 13771, Loss: 0.405282, Agg: 0.518723
train [2/1000][800/6660] n_relations: 4648, Loss: 0.528044, Agg: 0.515414
train [2/1000][1000/6660] n_relations: 10390, Loss: 0.358004, Agg: 0.512086
train [2/1000][1200/6660] n_relations: 11308, Loss: 0.538147, Agg: 0.512937
train [2/1000][1400/6660] n_relations: 8514, Loss: 0.457164, Agg: 0.516404
train [2/1000][1600/6660] n_relations: 6765, Loss: 0.526322, Agg: 0.517923
train [2/1000][1800/6660] n_relations: 9433, Loss: 0.464413, Agg: 0.517129
train [2/1000][2000/6660] n_relations: 9802, Loss: 0.464326, Agg: 0.518290
train [2/1000][2200/6660] n_relations: 5055, Loss: 0.695068, Agg: 0.517149
train [2/1000][2400/6660] n_relations: 10512, Loss: 0.537182, Agg: 0.516906
train [2/1000][2600/6660] n_relations: 19990, Loss: 0.475974, Agg: 0.515668
train [2/1000][2800/6660] n_relations: 19633, Loss: 0.562750, Agg: 0.515530
train [2/1000][3000/6660] n_relations: 18388, Loss: 0.372997, Agg: 0.515854
train [2/1000][3200/6660] n_relations: 8755, Loss: 0.543146, Agg: 0.516187
train [2/1000][3400/6660] n_relations: 16304, Loss: 0.525877, Agg: 0.515960
train [2/1000][3600/6660] n_relations: 4789, Loss: 0.534937, Agg: 0.515060
train [2/1000][3800/6660] n_relations: 6230, Loss: 0.456938, Agg: 0.514262
train [2/1000][4000/6660] n_relations: 18547, Loss: 0.452936, Agg: 0.514287
train [2/1000][4200/6660] n_relations: 14186, Loss: 0.417897, Agg: 0.514812
train [2/1000][4400/6660] n_relations: 8412, Loss: 0.382312, Agg: 0.515155
train [2/1000][4600/6660] n_relations: 9468, Loss: 0.400076, Agg: 0.514740
train [2/1000][4800/6660] n_relations: 6881, Loss: 0.414167, Agg: 0.514456
train [2/1000][5000/6660] n_relations: 16146, Loss: 0.502559, Agg: 0.514134
train [2/1000][5200/6660] n_relations: 7036, Loss: 0.695887, Agg: 0.513885
train [2/1000][5400/6660] n_relations: 9554, Loss: 0.494291, Agg: 0.513738
train [2/1000][5600/6660] n_relations: 8306, Loss: 0.550908, Agg: 0.513559
train [2/1000][5800/6660] n_relations: 9465, Loss: 0.364843, Agg: 0.513058
train [2/1000][6000/6660] n_relations: 7783, Loss: 0.531211, Agg: 0.512810
train [2/1000][6200/6660] n_relations: 16762, Loss: 0.547501, Agg: 0.512598
train [2/1000][6400/6660] n_relations: 12653, Loss: 0.415124, Agg: 0.512224
train [2/1000][6600/6660] n_relations: 11283, Loss: 0.784817, Agg: 0.511845
train [2/1000] Loss: 0.5117, Best valid: 0.5094
valid [2/1000][0/740] n_relations: 11872, Loss: 0.217147, Agg: 0.217147
valid [2/1000][200/740] n_relations: 13927, Loss: 0.341271, Agg: 0.516923
valid [2/1000][400/740] n_relations: 11193, Loss: 0.447759, Agg: 0.477776
valid [2/1000][600/740] n_relations: 7175, Loss: 0.526873, Agg: 0.492941
valid [2/1000] Loss: 0.4951, Best valid: 0.5094
train [3/1000][0/6660] n_relations: 4825, Loss: 0.404868, Agg: 0.404868
train [3/1000][200/6660] n_relations: 8244, Loss: 0.489663, Agg: 0.497931
train [3/1000][400/6660] n_relations: 13266, Loss: 0.435803, Agg: 0.495238
train [3/1000][600/6660] n_relations: 6866, Loss: 0.659618, Agg: 0.498772
train [3/1000][800/6660] n_relations: 13601, Loss: 0.330671, Agg: 0.498945
train [3/1000][1000/6660] n_relations: 7868, Loss: 0.607204, Agg: 0.501596
train [3/1000][1200/6660] n_relations: 19826, Loss: 0.567474, Agg: 0.502188
train [3/1000][1400/6660] n_relations: 11725, Loss: 0.714295, Agg: 0.501621
train [3/1000][1600/6660] n_relations: 14246, Loss: 0.424621, Agg: 0.502326
train [3/1000][1800/6660] n_relations: 3402, Loss: 0.329865, Agg: 0.503498
train [3/1000][2000/6660] n_relations: 8316, Loss: 0.446518, Agg: 0.504377
train [3/1000][2200/6660] n_relations: 9268, Loss: 0.647593, Agg: 0.505522
train [3/1000][2400/6660] n_relations: 19354, Loss: 0.731389, Agg: 0.505477
train [3/1000][2600/6660] n_relations: 11075, Loss: 0.618626, Agg: 0.504771
train [3/1000][2800/6660] n_relations: 5325, Loss: 0.518180, Agg: 0.504682
train [3/1000][3000/6660] n_relations: 11163, Loss: 0.710288, Agg: 0.504368
train [3/1000][3200/6660] n_relations: 22672, Loss: 0.371741, Agg: 0.504044
train [3/1000][3400/6660] n_relations: 5512, Loss: 0.457051, Agg: 0.503375
train [3/1000][3600/6660] n_relations: 5070, Loss: 0.471377, Agg: 0.502238
train [3/1000][3800/6660] n_relations: 11581, Loss: 0.485324, Agg: 0.502253
train [3/1000][4000/6660] n_relations: 5526, Loss: 0.414261, Agg: 0.500975
train [3/1000][4200/6660] n_relations: 8221, Loss: 0.467711, Agg: 0.501081
train [3/1000][4400/6660] n_relations: 9422, Loss: 0.445611, Agg: 0.501046
train [3/1000][4600/6660] n_relations: 4874, Loss: 0.433816, Agg: 0.500760
train [3/1000][4800/6660] n_relations: 9337, Loss: 0.397274, Agg: 0.500796
train [3/1000][5000/6660] n_relations: 9409, Loss: 0.745336, Agg: 0.500752
train [3/1000][5200/6660] n_relations: 20012, Loss: 0.412990, Agg: 0.501471
train [3/1000][5400/6660] n_relations: 5277, Loss: 0.532821, Agg: 0.501343
train [3/1000][5600/6660] n_relations: 3695, Loss: 0.535974, Agg: 0.501010
train [3/1000][5800/6660] n_relations: 12909, Loss: 0.455438, Agg: 0.501707
train [3/1000][6000/6660] n_relations: 19731, Loss: 0.368142, Agg: 0.500964
train [3/1000][6200/6660] n_relations: 5243, Loss: 0.353711, Agg: 0.500734
train [3/1000][6400/6660] n_relations: 13044, Loss: 0.653515, Agg: 0.500819
train [3/1000][6600/6660] n_relations: 5481, Loss: 0.466388, Agg: 0.500242
train [3/1000] Loss: 0.5001, Best valid: 0.4951
valid [3/1000][0/740] n_relations: 11872, Loss: 0.278745, Agg: 0.278745
valid [3/1000][200/740] n_relations: 13927, Loss: 0.335251, Agg: 0.507491
valid [3/1000][400/740] n_relations: 11193, Loss: 0.455879, Agg: 0.469252
valid [3/1000][600/740] n_relations: 7175, Loss: 0.496109, Agg: 0.484129
valid [3/1000] Loss: 0.4867, Best valid: 0.4951
train [4/1000][0/6660] n_relations: 7997, Loss: 0.255095, Agg: 0.255095
train [4/1000][200/6660] n_relations: 5382, Loss: 0.421295, Agg: 0.492651
train [4/1000][400/6660] n_relations: 9752, Loss: 0.709196, Agg: 0.503021
train [4/1000][600/6660] n_relations: 9183, Loss: 0.512607, Agg: 0.500403
train [4/1000][800/6660] n_relations: 14876, Loss: 0.828674, Agg: 0.490533
train [4/1000][1000/6660] n_relations: 4453, Loss: 0.533340, Agg: 0.491023
train [4/1000][1200/6660] n_relations: 7710, Loss: 0.552574, Agg: 0.493084
train [4/1000][1400/6660] n_relations: 19563, Loss: 0.568083, Agg: 0.495287
train [4/1000][1600/6660] n_relations: 8242, Loss: 0.492690, Agg: 0.494010
train [4/1000][1800/6660] n_relations: 22463, Loss: 0.428899, Agg: 0.494587
train [4/1000][2000/6660] n_relations: 16371, Loss: 0.469701, Agg: 0.494817
train [4/1000][2200/6660] n_relations: 5010, Loss: 0.745065, Agg: 0.494937
train [4/1000][2400/6660] n_relations: 14238, Loss: 0.547890, Agg: 0.494244
train [4/1000][2600/6660] n_relations: 8636, Loss: 0.599257, Agg: 0.494006
train [4/1000][2800/6660] n_relations: 18926, Loss: 0.425860, Agg: 0.493165
train [4/1000][3000/6660] n_relations: 14631, Loss: 0.416831, Agg: 0.493319
train [4/1000][3200/6660] n_relations: 9416, Loss: 0.396796, Agg: 0.493211
train [4/1000][3400/6660] n_relations: 9157, Loss: 0.627322, Agg: 0.493740
train [4/1000][3600/6660] n_relations: 10384, Loss: 0.400916, Agg: 0.493843
train [4/1000][3800/6660] n_relations: 12961, Loss: 0.467116, Agg: 0.493574
train [4/1000][4000/6660] n_relations: 9157, Loss: 0.452142, Agg: 0.493965
train [4/1000][4200/6660] n_relations: 4371, Loss: 0.595809, Agg: 0.493892
train [4/1000][4400/6660] n_relations: 3900, Loss: 0.371746, Agg: 0.493383
train [4/1000][4600/6660] n_relations: 9846, Loss: 0.623690, Agg: 0.493063
train [4/1000][4800/6660] n_relations: 15476, Loss: 0.627199, Agg: 0.492884
train [4/1000][5000/6660] n_relations: 4737, Loss: 0.543503, Agg: 0.493035
train [4/1000][5200/6660] n_relations: 6944, Loss: 0.442956, Agg: 0.493566
train [4/1000][5400/6660] n_relations: 9962, Loss: 0.259860, Agg: 0.493326
train [4/1000][5600/6660] n_relations: 8479, Loss: 0.367674, Agg: 0.493441
train [4/1000][5800/6660] n_relations: 8329, Loss: 0.595186, Agg: 0.493286
train [4/1000][6000/6660] n_relations: 9369, Loss: 0.492710, Agg: 0.492762
train [4/1000][6200/6660] n_relations: 9392, Loss: 0.507572, Agg: 0.492341
train [4/1000][6400/6660] n_relations: 5183, Loss: 0.286334, Agg: 0.491767
train [4/1000][6600/6660] n_relations: 9823, Loss: 0.398219, Agg: 0.491744
train [4/1000] Loss: 0.4919, Best valid: 0.4867
valid [4/1000][0/740] n_relations: 11872, Loss: 0.227173, Agg: 0.227173
valid [4/1000][200/740] n_relations: 13927, Loss: 0.347828, Agg: 0.511209
valid [4/1000][400/740] n_relations: 11193, Loss: 0.473326, Agg: 0.469660
valid [4/1000][600/740] n_relations: 7175, Loss: 0.481432, Agg: 0.482654
valid [4/1000] Loss: 0.4834, Best valid: 0.4867
train [5/1000][0/6660] n_relations: 10743, Loss: 0.444679, Agg: 0.444679
train [5/1000][200/6660] n_relations: 13624, Loss: 0.389509, Agg: 0.481397
train [5/1000][400/6660] n_relations: 9700, Loss: 0.466481, Agg: 0.485140
train [5/1000][600/6660] n_relations: 13494, Loss: 0.389507, Agg: 0.485380
train [5/1000][800/6660] n_relations: 20720, Loss: 0.610680, Agg: 0.486981
train [5/1000][1000/6660] n_relations: 4861, Loss: 0.566156, Agg: 0.487846
train [5/1000][1200/6660] n_relations: 10879, Loss: 0.750553, Agg: 0.492545
train [5/1000][1400/6660] n_relations: 4691, Loss: 0.411883, Agg: 0.492351
train [5/1000][1600/6660] n_relations: 5231, Loss: 0.484911, Agg: 0.491163
train [5/1000][1800/6660] n_relations: 6184, Loss: 0.454775, Agg: 0.490545
train [5/1000][2000/6660] n_relations: 5728, Loss: 0.759686, Agg: 0.490385
train [5/1000][2200/6660] n_relations: 8989, Loss: 0.498523, Agg: 0.490762
train [5/1000][2400/6660] n_relations: 14667, Loss: 0.349663, Agg: 0.490839
train [5/1000][2600/6660] n_relations: 3356, Loss: 0.430627, Agg: 0.490338
train [5/1000][2800/6660] n_relations: 6887, Loss: 0.422849, Agg: 0.489648
train [5/1000][3000/6660] n_relations: 12698, Loss: 0.578395, Agg: 0.489382
train [5/1000][3200/6660] n_relations: 9136, Loss: 0.414600, Agg: 0.488856
train [5/1000][3400/6660] n_relations: 23680, Loss: 0.513492, Agg: 0.488308
train [5/1000][3600/6660] n_relations: 5483, Loss: 0.356710, Agg: 0.488987
train [5/1000][3800/6660] n_relations: 8381, Loss: 0.403001, Agg: 0.488730
train [5/1000][4000/6660] n_relations: 6805, Loss: 0.331201, Agg: 0.487670
train [5/1000][4200/6660] n_relations: 5555, Loss: 0.362645, Agg: 0.487747
train [5/1000][4400/6660] n_relations: 18740, Loss: 0.468093, Agg: 0.488283
train [5/1000][4600/6660] n_relations: 15303, Loss: 0.342630, Agg: 0.487905
train [5/1000][4800/6660] n_relations: 11313, Loss: 0.579828, Agg: 0.487951
train [5/1000][5000/6660] n_relations: 13301, Loss: 0.337876, Agg: 0.486984
train [5/1000][5200/6660] n_relations: 12909, Loss: 0.451160, Agg: 0.486445
train [5/1000][5400/6660] n_relations: 5348, Loss: 0.412582, Agg: 0.486206
train [5/1000][5600/6660] n_relations: 7364, Loss: 0.464704, Agg: 0.485781
train [5/1000][5800/6660] n_relations: 3317, Loss: 0.396382, Agg: 0.485544
train [5/1000][6000/6660] n_relations: 14632, Loss: 0.544186, Agg: 0.485130
train [5/1000][6200/6660] n_relations: 6272, Loss: 0.250775, Agg: 0.484823
train [5/1000][6400/6660] n_relations: 16391, Loss: 0.376444, Agg: 0.484697
train [5/1000][6600/6660] n_relations: 16698, Loss: 0.379348, Agg: 0.483878
train [5/1000] Loss: 0.4839, Best valid: 0.4834
valid [5/1000][0/740] n_relations: 11872, Loss: 0.350498, Agg: 0.350498
valid [5/1000][200/740] n_relations: 13927, Loss: 0.344343, Agg: 0.502821
valid [5/1000][400/740] n_relations: 11193, Loss: 0.447074, Agg: 0.463050
valid [5/1000][600/740] n_relations: 7175, Loss: 0.479892, Agg: 0.479165
valid [5/1000] Loss: 0.4818, Best valid: 0.4834
train [6/1000][0/6660] n_relations: 8821, Loss: 0.497055, Agg: 0.497055
train [6/1000][200/6660] n_relations: 14333, Loss: 0.683229, Agg: 0.489605
train [6/1000][400/6660] n_relations: 13826, Loss: 0.507062, Agg: 0.482048
train [6/1000][600/6660] n_relations: 3338, Loss: 0.550617, Agg: 0.480319
train [6/1000][800/6660] n_relations: 9031, Loss: 0.451312, Agg: 0.477894
train [6/1000][1000/6660] n_relations: 5709, Loss: 0.417564, Agg: 0.480868
train [6/1000][1200/6660] n_relations: 6998, Loss: 0.404882, Agg: 0.481905
train [6/1000][1400/6660] n_relations: 4351, Loss: 0.695862, Agg: 0.482351
train [6/1000][1600/6660] n_relations: 19787, Loss: 0.390784, Agg: 0.481516
train [6/1000][1800/6660] n_relations: 14757, Loss: 0.424629, Agg: 0.480831
train [6/1000][2000/6660] n_relations: 11019, Loss: 0.584050, Agg: 0.481922
train [6/1000][2200/6660] n_relations: 7568, Loss: 0.440772, Agg: 0.481765
train [6/1000][2400/6660] n_relations: 6962, Loss: 0.425280, Agg: 0.480545
train [6/1000][2600/6660] n_relations: 5038, Loss: 0.501300, Agg: 0.481370
train [6/1000][2800/6660] n_relations: 13277, Loss: 0.438856, Agg: 0.481034
train [6/1000][3000/6660] n_relations: 4893, Loss: 0.529952, Agg: 0.479335
train [6/1000][3200/6660] n_relations: 9620, Loss: 0.534230, Agg: 0.479673
train [6/1000][3400/6660] n_relations: 5943, Loss: 0.495384, Agg: 0.478762
train [6/1000][3600/6660] n_relations: 5167, Loss: 0.424906, Agg: 0.478285
train [6/1000][3800/6660] n_relations: 20215, Loss: 0.486424, Agg: 0.478503
train [6/1000][4000/6660] n_relations: 3856, Loss: 0.490094, Agg: 0.478153
train [6/1000][4200/6660] n_relations: 13787, Loss: 0.577285, Agg: 0.479081
train [6/1000][4400/6660] n_relations: 21417, Loss: 0.708597, Agg: 0.478318
train [6/1000][4600/6660] n_relations: 15600, Loss: 0.377513, Agg: 0.477966
train [6/1000][4800/6660] n_relations: 10993, Loss: 0.358709, Agg: 0.477850
train [6/1000][5000/6660] n_relations: 4148, Loss: 0.549572, Agg: 0.477252
train [6/1000][5200/6660] n_relations: 9533, Loss: 0.535514, Agg: 0.477035
train [6/1000][5400/6660] n_relations: 23622, Loss: 0.374084, Agg: 0.477071
train [6/1000][5600/6660] n_relations: 4621, Loss: 0.501560, Agg: 0.476808
train [6/1000][5800/6660] n_relations: 15769, Loss: 0.463661, Agg: 0.476970
train [6/1000][6000/6660] n_relations: 6768, Loss: 0.522995, Agg: 0.476729
train [6/1000][6200/6660] n_relations: 4646, Loss: 0.468222, Agg: 0.476709
train [6/1000][6400/6660] n_relations: 4913, Loss: 0.335716, Agg: 0.476227
train [6/1000][6600/6660] n_relations: 4313, Loss: 0.484831, Agg: 0.476224
train [6/1000] Loss: 0.4762, Best valid: 0.4818
valid [6/1000][0/740] n_relations: 11872, Loss: 0.403315, Agg: 0.403315
valid [6/1000][200/740] n_relations: 13927, Loss: 0.338691, Agg: 0.488783
valid [6/1000][400/740] n_relations: 11193, Loss: 0.462747, Agg: 0.451772
valid [6/1000][600/740] n_relations: 7175, Loss: 0.471258, Agg: 0.465295
valid [6/1000] Loss: 0.4668, Best valid: 0.4818
train [7/1000][0/6660] n_relations: 16529, Loss: 0.514581, Agg: 0.514581
train [7/1000][200/6660] n_relations: 7387, Loss: 0.254902, Agg: 0.478799
train [7/1000][400/6660] n_relations: 5905, Loss: 0.556699, Agg: 0.478553
train [7/1000][600/6660] n_relations: 13508, Loss: 0.245079, Agg: 0.479721
train [7/1000][800/6660] n_relations: 10444, Loss: 0.478046, Agg: 0.475055
train [7/1000][1000/6660] n_relations: 8736, Loss: 0.509584, Agg: 0.474624
train [7/1000][1200/6660] n_relations: 6204, Loss: 0.563883, Agg: 0.474132
train [7/1000][1400/6660] n_relations: 16795, Loss: 0.588622, Agg: 0.476729
train [7/1000][1600/6660] n_relations: 9403, Loss: 0.419876, Agg: 0.476476
train [7/1000][1800/6660] n_relations: 10085, Loss: 0.794735, Agg: 0.474298
train [7/1000][2000/6660] n_relations: 8560, Loss: 0.446431, Agg: 0.474216
train [7/1000][2200/6660] n_relations: 4955, Loss: 0.424358, Agg: 0.473974
train [7/1000][2400/6660] n_relations: 4985, Loss: 0.395617, Agg: 0.474508
train [7/1000][2600/6660] n_relations: 16265, Loss: 0.667290, Agg: 0.474696
train [7/1000][2800/6660] n_relations: 20128, Loss: 0.353149, Agg: 0.474176
train [7/1000][3000/6660] n_relations: 9631, Loss: 0.380427, Agg: 0.472901
train [7/1000][3200/6660] n_relations: 11206, Loss: 0.460908, Agg: 0.472011
train [7/1000][3400/6660] n_relations: 10155, Loss: 0.537238, Agg: 0.472246
train [7/1000][3600/6660] n_relations: 10048, Loss: 0.339995, Agg: 0.472256
train [7/1000][3800/6660] n_relations: 10089, Loss: 0.405631, Agg: 0.472524
train [7/1000][4000/6660] n_relations: 12039, Loss: 0.548824, Agg: 0.471886
train [7/1000][4200/6660] n_relations: 5268, Loss: 0.462075, Agg: 0.471965
train [7/1000][4400/6660] n_relations: 9961, Loss: 0.482123, Agg: 0.471894
train [7/1000][4600/6660] n_relations: 4907, Loss: 0.420366, Agg: 0.471246
train [7/1000][4800/6660] n_relations: 14473, Loss: 0.495214, Agg: 0.470798
train [7/1000][5000/6660] n_relations: 3859, Loss: 0.390148, Agg: 0.471152
train [7/1000][5200/6660] n_relations: 5702, Loss: 0.340680, Agg: 0.470672
train [7/1000][5400/6660] n_relations: 3402, Loss: 0.537156, Agg: 0.470243
train [7/1000][5600/6660] n_relations: 5998, Loss: 0.465343, Agg: 0.470205
train [7/1000][5800/6660] n_relations: 16682, Loss: 0.279425, Agg: 0.470593
train [7/1000][6000/6660] n_relations: 19643, Loss: 0.434257, Agg: 0.470388
train [7/1000][6200/6660] n_relations: 8224, Loss: 0.597198, Agg: 0.470335
train [7/1000][6400/6660] n_relations: 8067, Loss: 0.510378, Agg: 0.469856
train [7/1000][6600/6660] n_relations: 15417, Loss: 0.437338, Agg: 0.469349
train [7/1000] Loss: 0.4692, Best valid: 0.4668
valid [7/1000][0/740] n_relations: 11872, Loss: 0.247815, Agg: 0.247815
valid [7/1000][200/740] n_relations: 13927, Loss: 0.328713, Agg: 0.476279
valid [7/1000][400/740] n_relations: 11193, Loss: 0.418827, Agg: 0.441314
valid [7/1000][600/740] n_relations: 7175, Loss: 0.463160, Agg: 0.454983
valid [7/1000] Loss: 0.4567, Best valid: 0.4668
train [8/1000][0/6660] n_relations: 8821, Loss: 0.496868, Agg: 0.496868
train [8/1000][200/6660] n_relations: 6346, Loss: 0.489371, Agg: 0.453688
train [8/1000][400/6660] n_relations: 14371, Loss: 0.529162, Agg: 0.460801
train [8/1000][600/6660] n_relations: 14556, Loss: 0.650053, Agg: 0.465476
train [8/1000][800/6660] n_relations: 15221, Loss: 0.613689, Agg: 0.464022
train [8/1000][1000/6660] n_relations: 23800, Loss: 0.396564, Agg: 0.462926
train [8/1000][1200/6660] n_relations: 6446, Loss: 0.424125, Agg: 0.463353
train [8/1000][1400/6660] n_relations: 7047, Loss: 0.445734, Agg: 0.463293
train [8/1000][1600/6660] n_relations: 4798, Loss: 0.442190, Agg: 0.464473
